韩语,中文,章节,标签
학년,年级,1,
과,课,1,
학생,学生,1,
대학생,大学生,1,
미국,美国,1,
사람,人,1,
인사,问候,1,
한국,韩国,1,
저/나,我,1,
안녕하다,你好,1,
이다,是,1,
도,也是,1,
은/는,话说,1,
선생님,老师,1,
씨,先生/小姐,1,
영국,英国,1,
영어,英语,1,
이름,名字,1,
일본,日本,1,
중국,中国,1,
클래스,班级,1,
한국어,韩语,1,
네,是,1,
아니요,不是,1,
이/가,主语,1,
그렇다,是,1,
반갑다（반갑습니다）,很高兴见到你,1,
아니다,不是,1,
뭐,什么,1,疑问词
아,哦,1,
가방,包,2,
기숙사,宿舍,2,
대학교,大学,2,
도서관,图书馆,2,
유니온빌딩,联合楼,2,
시계,钟表,2,
식당,餐厅,2,
위,上面,2,方位词
밑,下面,2,方位词
안,里面,2,方位词
앞,前面,2,方位词
뒤,后面,2,方位词
옆,旁边,2,方位词
어디,哪里,2,疑问词
우체국,邮局,2,
의자,椅子,2,
책,书,2,
책방,书屋,2,
책상,书桌,2,
캠퍼스,校园,2,
학교,学校,2,
학생회관,学生中心,2,
층,层,2,
있다,有,2,
저어,呃,2,
에,在,2,
숙제,作业,2,
아침,早晨,2,
음식,食物,2,
커피,咖啡,2,
괜찮다,不错,2,
넓다,宽广,2,
많다,多,2,
맛있다,好吃,2,
싸다,便宜,2,
어떻다,怎样,2,疑问词
좋다,好,2,
크다,大,2,
아주,非常,2,
참,真,2,
가다,走,2,
먹다,吃,2,
앉다,坐,2,
알다,知道,2,
